covariate,hazard_ratio,hr_lower_95,hr_upper_95,p,coef,se(coef)
time_bin_Night,0.8685391380801919,0.8623615248279367,0.8747610052844101,0.0,-0.1409426303207134,0.003641936089654508
unified_alarm_level_2,2.0705643012170425,2.0079291391350553,2.1351532989462014,0.0,0.727821179409714,0.01567236322737415
incident_category_Fire – Non-Structural,3.4671238595224434,3.4188833306118624,3.5160450634969362,0.0,1.2433253913380287,0.007148807430914843
incident_category_Fire – Structural,4.631176396690323,4.585304698797633,4.677506998146851,0.0,1.532810917183542,0.005078847463373519
incident_category_Rescue / Entrapment,2.1532110069718553,2.1338497613777427,2.172747924648296,0.0,0.7669602196049634,0.004608488537778472
incident_category_Other / Assistance,2.105853788026966,2.09403302690935,2.1177412770288155,0.0,0.7447209849137053,0.002872042788095913
incident_category_Hazardous / Utility,3.000624320952205,2.983336741611076,3.018012076849104,0.0,1.0988203740009235,0.002948007202699127
incident_category_False Alarm / No Action,3.03554861031692,3.0150198434552182,3.0562171541256213,0.0,1.1103921694008052,0.0034621848766881462
time_bin_Evening,1.0540373018741507,1.0491045060415662,1.0589932912728537,3.658478829053672e-107,0.05262784026537105,0.0023933559017299657
time_bin_Morning,0.9585465170636934,0.9534606151775381,0.9636595479131052,7.546284430559478e-55,-0.04233718656950234,0.002714322200208182
calls_past_60min,1.0009705109196347,1.000822587594037,1.0011184561085582,7.137082370522847e-38,0.0009700402783958392,7.540486727264828e-05
season_fall,1.0333697370603625,1.0281769897876012,1.038588709997097,2.38644555932626e-37,0.03282505161570378,0.002570317815924863
day_of_week_1,1.0362784093825443,1.0296620853655551,1.0429372480692682,1.097270869126559e-27,0.035635842659765014,0.0032680022474457383
season_spring,1.0280366161678793,1.0227504447659541,1.0333501095897883,7.570119523151152e-26,0.027650785238987004,0.0026302894235671896
season_winter,1.0266282908466962,1.0213734293201713,1.031910188096758,1.046554514386915e-23,0.026279928573333687,0.002618266305614769
day_of_week_2,1.019886543768017,1.0134802623479042,1.0263333197524134,9.071055838653048e-10,0.019691389509503197,0.003214945571443206
day_of_week_7,1.0150519107899583,1.0086176049739557,1.021527263174184,4.1313133542873615e-06,0.014939754821386361,0.0032444828074653766
day_of_week_4,0.9871260724326809,0.9808407571046144,0.9934516646237214,7.013090292915348e-05,-0.01295751474463937,0.0032590624161850327
calls_past_30min,1.0004985207306363,1.0002344338341536,1.000762677352662,0.0002153561443054811,0.0004983965104594401,0.00013469132785367345
day_of_week_5,0.9948851564940604,0.9885499896144407,1.0012609225743418,0.1156406330431783,-0.0051279690939998995,0.0032592932439001318
day_of_week_3,1.0001073157386264,0.9937482917528233,1.0065070313023547,0.9736960269023855,0.00010730998070439597,0.0032544689784918595
