feature,coef,hr,p_value,ci_lower,ci_upper,importance,rank
incident_category_Fire – Structural,1.532810917183542,4.631176396690323,0.0,4.585304698797633,4.677506998146851,1.532810917183542,1
incident_category_Fire – Non-Structural,1.2433253913380289,3.4671238595224434,0.0,3.4188833306118624,3.516045063496936,1.2433253913380289,2
incident_category_False Alarm / No Action,1.1103921694008052,3.03554861031692,0.0,3.0150198434552182,3.0562171541256213,1.1103921694008052,3
incident_category_Hazardous / Utility,1.0988203740009237,3.000624320952205,0.0,2.983336741611076,3.018012076849104,1.0988203740009237,4
incident_category_Rescue / Entrapment,0.7669602196049634,2.1532110069718557,0.0,2.1338497613777427,2.172747924648296,0.7669602196049634,5
incident_category_Other / Assistance,0.7447209849137053,2.105853788026966,0.0,2.09403302690935,2.1177412770288155,0.7447209849137053,6
unified_alarm_level_2,0.727821179409714,2.0705643012170425,0.0,2.0079291391350558,2.135153298946201,0.727821179409714,7
time_bin_Night,-0.1409426303207134,0.8685391380801919,0.0,0.8623615248279367,0.8747610052844101,0.1409426303207134,8
time_bin_Evening,0.052627840265371,1.054037301874151,3.658478829053672e-107,1.0491045060415662,1.0589932912728537,0.052627840265371,9
time_bin_Morning,-0.0423371865695023,0.9585465170636934,7.546284430559477e-55,0.953460615177538,0.9636595479131052,0.0423371865695023,10
day_of_week_1,0.035635842659765,1.0362784093825443,1.0972708691265589e-27,1.0296620853655551,1.0429372480692682,0.035635842659765,11
season_fall,0.0328250516157037,1.0333697370603625,2.38644555932626e-37,1.0281769897876012,1.038588709997097,0.0328250516157037,12
season_spring,0.027650785238987,1.0280366161678791,7.570119523151152e-26,1.022750444765954,1.0333501095897883,0.027650785238987,13
season_winter,0.0262799285733336,1.0266282908466962,1.046554514386915e-23,1.0213734293201713,1.031910188096758,0.0262799285733336,14
day_of_week_2,0.0196913895095031,1.019886543768017,9.071055838653047e-10,1.0134802623479042,1.0263333197524134,0.0196913895095031,15
day_of_week_7,0.0149397548213863,1.0150519107899585,4.1313133542873615e-06,1.0086176049739557,1.021527263174184,0.0149397548213863,16
day_of_week_4,-0.0129575147446393,0.9871260724326808,7.013090292915348e-05,0.9808407571046144,0.9934516646237214,0.0129575147446393,17
day_of_week_5,-0.0051279690939998,0.9948851564940604,0.1156406330431783,0.9885499896144408,1.0012609225743418,0.0051279690939998,18
calls_past_60min,0.0009700402783958,1.0009705109196347,7.137082370522847e-38,1.000822587594037,1.0011184561085582,0.0009700402783958,19
calls_past_30min,0.0004983965104594,1.0004985207306365,0.0002153561443054,1.0002344338341536,1.000762677352662,0.0004983965104594,20
day_of_week_3,0.0001073099807043,1.0001073157386264,0.9736960269023855,0.9937482917528232,1.0065070313023547,0.0001073099807043,21
