feature,coef,hr,p_value,ci_lower,ci_upper,importance,rank
incident_category_False Alarm / No Action,-0.524121147369035,0.5920754828754327,0.0,0.5872159495743683,0.5969752314736484,0.524121147369035,1
incident_category_Hazardous / Utility,-0.335310273910468,0.7151161700364025,4.643988159706386e-184,0.6990556076978636,0.7315457182750469,0.335310273910468,2
incident_category_Other / Assistance,-0.2667551630383292,0.7658605594848866,0.0,0.7591084206089489,0.772672757475125,0.2667551630383292,3
time_bin_Night,-0.2402465122911392,0.7864339715293068,0.0,0.7789418346654462,0.7939981704038193,0.2402465122911392,4
unified_alarm_level_2,0.214397100606148,1.2391146102719042,4.679939065789308e-09,1.1533449977896262,1.3312625626606789,0.214397100606148,5
incident_category_Rescue / Entrapment,-0.2035751444259843,0.8158088985279154,7.375889836679074e-70,0.7975919656322807,0.8344419046269216,0.2035751444259843,6
calls_past_30min,-0.1198610300080363,0.887043700607913,6.424729329571634e-137,0.8787160489337085,0.8954502740026109,0.1198610300080363,7
day_of_week_1,0.0501708285092455,1.0514506987904004,5.842879620160164e-20,1.0402080694659002,1.0628148391066323,0.0501708285092455,8
incident_category_Fire – Structural,-0.0486550264815071,0.9525096636375556,0.0025334019816991,0.922895784955748,0.9830737924178868,0.0486550264815071,9
calls_past_60min,0.0483448229072838,1.0495324957819303,4.692101024201904e-49,1.0427989271334637,1.0563095444777617,0.0483448229072838,10
season_spring,0.0296220020285373,1.0300650978376658,8.2696116725944e-12,1.021351016896905,1.038853526583819,0.0296220020285373,11
incident_category_Fire – Non-Structural,0.0268508351745837,1.0272145670535249,0.0008274470622543,1.0111725402066951,1.043511097078716,0.0268508351745837,12
day_of_week_2,0.0241827757190829,1.0244775504002808,9.415923873953123e-06,1.013575322731873,1.035497044704397,0.0241827757190829,13
time_bin_Evening,0.023728152370834,1.0240119048408036,2.826240261562296e-09,1.016027717662353,1.0320588336588696,0.023728152370834,14
day_of_week_5,-0.020079382248346,0.980120866020542,0.0002227828887524,0.9697278427423772,0.9906252761519037,0.020079382248346,15
