city,feature,feature_value,shap_value
Toronto,hour,1.0,0.46858383240436513
Toronto,hour,1.0,0.41197100692476846
Toronto,hour,10.0,-0.06393978655061634
Toronto,hour,13.0,-0.02359707563617395
Toronto,hour,14.0,0.03830191254240199
Toronto,hour,12.0,-0.003549152965969408
Toronto,hour,18.0,-0.14430788655104912
Toronto,hour,9.0,0.021289657622772865
Toronto,hour,16.0,0.05069775536825624
Toronto,hour,11.0,0.0459740877851485
Toronto,hour,19.0,-0.32103119179994977
Toronto,hour,21.0,-0.2305555795428088
Toronto,hour,9.0,-0.013139816015217456
Toronto,hour,12.0,0.021516407512305075
Toronto,hour,12.0,0.0764574660075982
Toronto,hour,16.0,0.057772685123523015
Toronto,hour,16.0,0.1436226194066937
Toronto,hour,22.0,-0.2907899093705884
Toronto,hour,7.0,-0.31251516174301414
Toronto,hour,17.0,0.0990259798772315
Toronto,hour,17.0,0.1363140646592406
Toronto,hour,18.0,0.006541738443833694
Toronto,hour,18.0,-0.007869238237844805
Toronto,hour,18.0,-0.023870924245117414
Toronto,hour,1.0,0.6194654703031964
Toronto,hour,17.0,0.05422179012067028
Toronto,hour,3.0,0.6142194172846006
Toronto,hour,5.0,0.4463071940793674
Toronto,hour,16.0,0.010689520378539975
Toronto,hour,20.0,-0.1946575024848172
Toronto,hour,13.0,0.026992113194998855
Toronto,hour,7.0,-0.2602354295996727
Toronto,hour,13.0,0.03714751195321764
Toronto,hour,13.0,0.04663822791116847
Toronto,hour,20.0,-0.31877110683336163
Toronto,hour,10.0,0.026803509480015256
Toronto,hour,6.0,-0.10913324583912967
Toronto,hour,14.0,0.06493178739136964
Toronto,hour,21.0,-0.242213036091208
Toronto,hour,6.0,-0.15750074594759753
Toronto,hour,6.0,-0.04518221276008829
Toronto,hour,6.0,-0.051269111351583595
Toronto,hour,10.0,-0.010251679969046605
Toronto,hour,14.0,0.003608048965943509
Toronto,hour,15.0,0.0381460562775177
Toronto,hour,18.0,-0.09896287799040715
Toronto,hour,20.0,-0.2651277824162617
Toronto,hour,23.0,-0.24028722212216594
Toronto,hour,0.0,0.5410713686719277
Toronto,hour,2.0,0.5382465619475765
Toronto,hour,3.0,0.5009761732254865
Toronto,hour,3.0,0.6142194172846006
Toronto,hour,4.0,0.5379638277513713
Toronto,hour,8.0,-0.17851455918660938
Toronto,hour,9.0,-0.05036655180027259
Toronto,hour,9.0,0.008076471103691424
Toronto,hour,14.0,-0.014927652528655218
Toronto,hour,21.0,-0.27400175368934687
Toronto,hour,8.0,-0.10960525890281059
Toronto,hour,13.0,0.02261468596348809
Toronto,hour,14.0,0.0535523271650864
Toronto,hour,19.0,-0.339534458989815
Toronto,hour,7.0,-0.26610831744722896
Toronto,hour,9.0,0.015161228819428435
Toronto,hour,9.0,0.038784660516448584
Toronto,hour,14.0,0.03021348619475394
Toronto,hour,20.0,-0.3193619175184295
Toronto,hour,22.0,-0.30793924842027703
Toronto,hour,10.0,0.0038731808504047236
Toronto,hour,10.0,0.059133789159651146
Toronto,hour,15.0,0.040781065021564554
Toronto,hour,11.0,0.009311883237192193
Toronto,hour,12.0,-0.017330792402776938
Toronto,hour,12.0,0.03515374054843766
