_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
1,4236992,900,Tapscott Rd,900 Tapscott Rd,Scarborough,4236991,1520443,83,211,1982,23,Scarborough North,Fire Station, , , ,"{""coordinates"": [[-79.24287003538682, 43.82399272520154]], ""type"": ""MultiPoint""}"
2,6349868,745,Meadowvale Rd,745 Meadowvale Rd,Scarborough,6349869,1567567,82,214,1982,25,Scarborough-Rouge Park,Fire Station, , , ,"{""coordinates"": [[-79.16360160417264, 43.794210766943564]], ""type"": ""MultiPoint""}"
3,10757599,140,Lansdowne Ave,140 Lansdowne Ave,former Toronto,14674741,1578612,17,426,1972,4,Parkdale-High Park,Fire Station, , , ,"{""coordinates"": [[-79.43886670039956, 43.64508644083693]], ""type"": ""MultiPoint""}"
4,4792285,10,William Carson Cres,10 William Carson Cres,North York,13971133,1662173,55,121,1988,15,Don Valley West,Fire Station,Public Education Office (N), , ,"{""coordinates"": [[-79.40678074949807, 43.74854007722894]], ""type"": ""MultiPoint""}"
5,7063061,267,Humberline Dr,267 Humberline Dr,Etobicoke,7063044,1662239,66,412,1975,1,Etobicoke North,Fire Station, ,Fire Prevention Office (W), ,"{""coordinates"": [[-79.6176378075318, 43.73810828935911]], ""type"": ""MultiPoint""}"
6,8823994,115,Parkway Forest Dr,115 Parkway Forest Dr,North York,8823988,1783376,71,115,1983,17,Don Valley North,Fire Station, , , ,"{""coordinates"": [[-79.34068607011201, 43.77440355116445]], ""type"": ""MultiPoint""}"
7,9847351,476,Lawrence Ave W,476 Lawrence Ave W,North York,9694792,1852933,34,132,1999,8,Eglinton-Lawrence,Fire Station, , , ,"{""coordinates"": [[-79.42857186691637, 43.719798152339564]], ""type"": ""MultiPoint""}"
8,10142756,615,Royal York Rd,615 Royal York Rd,Etobicoke,10142758,1918334,1,433,1953,3,Etobicoke-Lakeshore,Fire Station, , , ,"{""coordinates"": [[-79.50293816934983, 43.628018538118255]], ""type"": ""MultiPoint""}"
9,69771,555,Oakwood Ave,555 Oakwood Ave,York,7809,1961768,32,341,1968,12,Toronto-St. Paul's,Fire Station, , , ,"{""coordinates"": [[-79.4411405905638, 43.69452030328318]], ""type"": ""MultiPoint""}"
10,8741293,20,Balmoral Ave,20 Balmoral Ave,former Toronto,20062243,1995083,36,311,1911,12,Toronto-St. Paul's,Fire Station, , , ,"{""coordinates"": [[-79.39397584130063, 43.68595080638596]], ""type"": ""MultiPoint""}"
11,8837366,153,Chatham Ave,153 Chatham Ave,former Toronto,20080084,2004250,9,323,1963,14,Toronto-Danforth,Fire Station, ,Fire Prevention Office (E), ,"{""coordinates"": [[-79.33466211530394, 43.67954288782287]], ""type"": ""MultiPoint""}"
12,2219446,40,Coronation Dr,40 Coronation Dr,Scarborough,2219434,2004920,79,234,1966,24,Scarborough-Guildwood,Fire Station, , , ,"{""coordinates"": [[-79.19152202912737, 43.761068166342255]], ""type"": ""MultiPoint""}"
13,330710,2575,Eglinton Ave E,2575 Eglinton Ave E,Scarborough,111065,2048861,68,221,2014,20,Scarborough Southwest,Fire Station, , ,Division Commander / Platoon Chiefs,"{""coordinates"": [[-79.25506270350353, 43.73479014329829]], ""type"": ""MultiPoint""}"
14,4570660,2340,Birchmount Rd,2340 Birchmount Rd,Scarborough,4570662,2063805,73,244,1971,22,Scarborough-Agincourt,Fire Station, , , ,"{""coordinates"": [[-79.2991153286616, 43.781682495272456]], ""type"": ""MultiPoint""}"
15,11541989,143,Bond Ave,143 Bond Ave,North York,11541986,2108616,70,123,1956,16,Don Valley East,Fire Station, , , ,"{""coordinates"": [[-79.34672603325102, 43.74581400635624]], ""type"": ""MultiPoint""}"
16,7785457,3135,Yonge St,3135 Yonge St,former Toronto,7785453,2119715,56,131,1931,15,Don Valley West,Fire Station, , , ,"{""coordinates"": [[-79.40215728239794, 43.726217004985585]], ""type"": ""MultiPoint""}"
17,9486826,116,Dorset Rd,116 Dorset Rd,Scarborough,14666179,2172861,77,223,1953,20,Scarborough Southwest,Fire Station, , , ,"{""coordinates"": [[-79.23326107765529, 43.723956761795435]], ""type"": ""MultiPoint""}"
18,8714126,740,Markham Rd,740 Markham Rd,Scarborough,8714123,2175731,80,231,1960,24,Scarborough-Guildwood,Fire Station, , , ,"{""coordinates"": [[-79.22778766284232, 43.7646440088669]], ""type"": ""MultiPoint""}"
19,4840624,4560,Sheppard Ave E,4560 Sheppard Ave E,Scarborough,4840625,2236216,49,243,1972,23,Scarborough North,Fire Station, , , ,"{""coordinates"": [[-79.2629602053098, 43.78913691711762]], ""type"": ""MultiPoint""}"
20,1027149,666,Renforth Dr,666 Renforth Dr,Etobicoke,910843,2238015,43,444,1965,2,Etobicoke Centre,Fire Station, , , ,"{""coordinates"": [[-79.58269598803079, 43.657466739893444]], ""type"": ""MultiPoint""}"
21,9980187,1904,Queen St E,1904 Queen St E,former Toronto,9980168,2309211,7,227,1905,19,Beaches-East York,Fire Station, , , ,"{""coordinates"": [[-79.30503819952946, 43.66916300886558]], ""type"": ""MultiPoint""}"
22,990940,280,Burnhamthorpe Rd,280 Burnhamthorpe Rd,Etobicoke,911274,2544120,42,445,1960,2,Etobicoke Centre,Fire Station, , , ,"{""coordinates"": [[-79.54510308321025, 43.64934817811899]], ""type"": ""MultiPoint""}"
23,8731578,255,Esther Shiner Blvd,255 Esther Shiner Blvd,North York,30005958,2607109,39,116,2007,17,Don Valley North,Fire Station, ,"Fire Prevention Office (E, N)",Division Commander / Platoon Chiefs,"{""coordinates"": [[-79.36506365548586, 43.76914594362765]], ""type"": ""MultiPoint""}"
24,8100063,155,The East Mall,155 The East Mall,Etobicoke,8100062,2609714,41,432,1980,3,Etobicoke-Lakeshore,Fire Station, , , ,"{""coordinates"": [[-79.54935369524489, 43.623341011491526]], ""type"": ""MultiPoint""}"
25,5464019,3600,Danforth Ave,3600 Danforth Ave,Scarborough,5464008,2642292,6,225,1998,20,Scarborough Southwest,Fire Station, , , ,"{""coordinates"": [[-79.26849460456525, 43.69591687317466]], ""type"": ""MultiPoint""}"
26,9655766,2120,Kipling Ave,2120 Kipling Ave,Etobicoke,9655751,2750607,45,415,1954,1,Etobicoke North,Fire Station, , , ,"{""coordinates"": [[-79.5703767704744, 43.717877208056265]], ""type"": ""MultiPoint""}"
27,560567,700,Seneca Hill Dr,700 Seneca Hill Dr,North York,436832,2788036,51,113,1969,17,Don Valley North,Fire Station, , , ,"{""coordinates"": [[-79.35083300207528, 43.793177934307614]], ""type"": ""MultiPoint""}"
28,20035267,1505,Lawrence Ave W,1505 Lawrence Ave W,North York,9796670,2829802,67,133,1962,5,York South-Weston,Fire Station, , , ,"{""coordinates"": [[-79.48218487915105, 43.70718484802335]], ""type"": ""MultiPoint""}"
29,9531843,6,Lambton Ave,6 Lambton Ave,York,9531839,2973435,31,421,1956,5,York South-Weston,Fire Station, , , ,"{""coordinates"": [[-79.48530162768527, 43.684300394646705]], ""type"": ""MultiPoint""}"
30,531061,2753,Jane St,2753 Jane St,North York,442012,2982185,63,142,1982,7,Humber River-Black Creek,Fire Station, , , ,"{""coordinates"": [[-79.51437064341629, 43.74598270620593]], ""type"": ""MultiPoint""}"
